Type,State,Name of Facility (consistent with State license where relevant),Provider Number,Street Address,Suburb,Postcode,Second-tier Eligible (Yes/No),Second-tier Expiry Date,"Second-tier Category - To facilitate calculation of second-tier default benefits by insurers, the department has categorised all declared private hospitals into the following categories:"
PUBLIC,QLD,DYSART HOSPITAL,0051660H,QUEEN ELIZABETH DRIVE,DYSART,4745,NO,,
PUBLIC,VIC,EAST GRAMPIANS HEALTH SERVICE - ARARAT,0031890B,LOT 5B GIRDLESTONE STREET,ARARAT,3377,NO,,
PUBLIC,VIC,EAST GRAMPIANS HEALTH SERVICE - WILLAURA CAMPUS,0031890B,DELACOMBE WAY,WILLAURA,3379,NO,,
PRIVATE,VIC,EAST MELBOURNE SPECIALIST DAY HOSPITAL,0044010K,GR FLOOR 23 CLARENDON ST&1ST FLOOR 344 VICTORIA PARADE,EAST MELBOURNE,3002,YES,02-05-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,EAST SYDNEY PRIVATE HOSPITAL,0017500W,75-85 CROWN STREET,EAST SYDNEY,2010,YES,08-09-23,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,VIC,EAST WIMMERA HEALTH SERVICE - BIRCHIP,0031950H,26 DUNCAN STREET,BIRCHIP,3483,NO,,
PUBLIC,VIC,EAST WIMMERA HEALTH SERVICE - CHARLTON,0031940J,4 MENZIES STREET,CHARLTON,3525,NO,,
PUBLIC,VIC,EAST WIMMERA HEALTH SERVICE - DONALD,0030350W,7 AITKEN AVENUE,DONALD,3480,NO,,
PUBLIC,VIC,EAST WIMMERA HEALTH SERVICE - ST ARNAUD,0034770J,52 NORTH WESTERN ROAD,ST ARNAUD,3478,NO,,
PUBLIC,VIC,EAST WIMMERA HEALTH SERVICE - WYCHEPROOF,0031420K,19 GRANDVIEW STREET,WYCHEPROOF,3527,NO,,
PRIVATE,QLD,EASTERN ENDOSCOPY CENTRE,0057060F,17A/120 BIRKDALE ROAD,BIRKDALE,4159,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,SA,EASTERN EYRE HEALTH AND AGED CARE - CLEVE CAMPUS,0060140A,NORTH TERRACE,CLEVE,5640,NO,,
PUBLIC,SA,EASTERN EYRE HEALTH AND AGED CARE - COWELL CAMPUS,0060150Y,17 SOUTH TERRACE,COWELL,5602,NO,,
PUBLIC,SA,EASTERN EYRE HEALTH AND AGED CARE - KIMBA CAMPUS,0060260T,15 MARTIN TERRACE,KIMBA,5641,NO,,
PRIVATE,NSW,EASTERN HEART CLINIC,0657471B,"LEVEL 3, CAMPUS CENTRE BUILDING, PRINCE OF WALES CAMPUS, BARKER STREET",RANDWICK,2031,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,EASTERN SUBURBS ENDOSCOPY CLINIC,0657321W,"SUITE 1903, PLAZA TOWER 1, 500 OXFORD STREET",BONDI JUNCTION,2022,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,EASTERN SUBURBS PRIVATE HOSPITAL,0015860J,8 CHAPEL STREET,RANDWICK,2031,NO,,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PRIVATE,VIC,EASTSIDE ENDOSCOPY CENTRE,0043610W,33 WANTIRNA ROAD,RINGWOOD,3134,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,ECHUCA REGIONAL HEALTH,0030380K,9-27 FRANCIS STREET,ECHUCA,3564,NO,,
PRIVATE,QLD,EDEN PRIVATE HOSPITAL,0056010A,50 MAPLE STREET,COOROY,4563,YES,16-04-21,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PUBLIC,VIC,EDENHOPE AND DISTRICT MEMORIAL HOSPITAL,0030390J,128-134 ELIZABETH STREET,EDENHOPE,3318,NO,,
PUBLIC,QLD,EIDSVOLD MULTIPURPOSE HEALTH SERVICE,0050420J,CRACOW ROAD,EIDSVOLD,4627,NO,,
PUBLIC,SA,ELLISTON HOSPITAL,0060180T,4-6 MEMORIAL DRIVE,ELLISTON,5670,NO,,
PUBLIC,QLD,EMERALD HOSPITAL,0050430H,69 HOSPITAL ROAD,EMERALD,4720,NO,,
PUBLIC,NSW,EMMAVILLE - VEGETABLE CREEK RESIDENTIAL AGED CARE,0012240W,13-33 GLEN INNES ROAD,EMMAVILLE,2371,NO,,
PRIVATE,VIC,EPPING PRIVATE HOSPITAL,0036990B,"LEVEL 1, 230 COOPER STREET",EPPING,3076,YES,15-05-23,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,NSW,EPPING SURGERY CENTRE,0027190Y,"SUITE 3, 44-46 OXFORD STREET",EPPING,2121,YES,15-09-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,EPWORTH CAMBERWELL,0036310Y,888 TOORAK ROAD,CAMBERWELL,3124,YES,29-01-21,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,VIC,EPWORTH CLIVEDEN,0035490J,29 SIMPSON STREET,MELBOURNE EAST,3002,YES,29-01-21,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,VIC,EPWORTH EASTERN,0036850T,"1 ARNOLD STREET & 209 COTHAM ROAD, KEW, VIC 3101 & 116-118 THAMES  STREET, BOX HILL NORTH (EKERA CAMPUS)",BOX HILL,3128,YES,29-01-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,VIC,EPWORTH FREEMASONS,0035290W,109 ALBERT STREET & 320 VICTORIA PARADE,EAST MELBOURNE,3002,YES,29-01-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,VIC,EPWORTH GEELONG,0036950K,1 EPWORTH PLACE,WAURN PONDS,3216,YES,28-12-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,VIC,EPWORTH HAWTHORN,0036900Y,46-52 BURWOOD ROAD,HAWTHORN,3122,YES,29-01-21,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,VIC,EPWORTH REHABILITATION BRIGHTON,0036270L,85-91 WILSON STREET,BRIGHTON,3186,YES,29-01-21,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PRIVATE,VIC,EPWORTH RICHMOND,0035260A,89 BRIDGE ROAD,RICHMOND,3121,YES,29-01-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,QLD,ESK HOSPITAL,0050440F,30 HIGHLAND STREET,ESK,4312,NO,,
PUBLIC,WA,ESPERANCE HOSPITAL,0070280W,HICKS STREET,ESPERANCE,6450,NO,,
PUBLIC,TAS,ESPERANCE MULTI PURPOSE CENTRE,0085160L,15 CHAPMAN AVENUE,DOVER,7117,NO,,
PRIVATE,VIC,ESSENDON DAY PROCEDURE CENTRE,0043700T,"LEVEL 1, 665 MOUNT ALEXANDER ROAD",MOONEE PONDS,3039,YES,02-04-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,ESSENDON PRIVATE CLINIC,0036140A,33-35 ROSEHILL ROAD,ESSENDON,3040,YES,29-06-21,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PUBLIC,SA,EUDUNDA HOSPITAL,0060190L,40 WARD STREET,EUDUNDA,5374,NO,,
PUBLIC,NSW,EUGOWRA MEMORIAL MULTI PURPOSE SERVICE,0011200K,COOPER STREET,EUGOWRA,2806,NO,,
PRIVATE,VIC,EUROA HEALTH,0035270Y,36 KENNEDY STREET,EUROA,3666,NO,,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,NSW,EXCEL ENDOSCOPY CENTRE,0658051T,490 CANTERBURY ROAD,CAMPSIE,2194,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,WA,EXMOUTH HOSPITAL,0071100H,LYONS STREET,EXMOUTH,6707,NO,,
PRIVATE,QLD,EYE-TECH DAY SURGERIES,0899091B,"LEVEL 5, ST ANDREW'S PLACE, NORTH STREET",SPRING HILL,4000,YES,05-05-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,EYE-TECH DAY SURGERIES SOUTHSIDE,0057260X,22-26 SANDERS STREET,UPPER MOUNT GRAVATT,4122,YES,06-05-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,FAIRFIELD HOSPITAL,0010110Y,340 PRAIRIE VALE ROAD,PRAIRIEWOOD,2176,NO,,
PRIVATE,QLD,FAR NORTH DAY HOSPITAL,0056090H,"LEVEL 4, 58-60 McLEOD STREET",CAIRNS,4870,YES,09-02-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,SA,FAR NORTH HEALTH SERVICES,0060740Y,LOT 89 HOSPITAL ROAD,COOBER PEDY,5723,NO,,
PRIVATE,VIC,FERTILITY CONTROL CLINIC,0043510Y,116-118 WELLINGTON PARADE,EAST MELBOURNE,3002,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,FIGTREE PRIVATE HOSPITAL,0016950Y,1 SUTTOR PLACE,FIGTREE,2525,YES,18-11-22,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PUBLIC,NSW,FINLEY HOSPITAL & COMMUNITY HEALTH CARE,0011210J,20-22 DAWE STREET,FINLEY,2713,NO,,
PUBLIC,WA,FIONA STANLEY HOSPITAL,0071610H,102-118 MURDOCH DRIVE,MURDOCH,6150,NO,,
PUBLIC,WA,FITZROY CROSSING HOSPITAL,0070290T,FALLON ROAD,FITZROY CROSSING,6765,NO,,
PUBLIC,TAS,FLINDERS ISLAND MULTI PURPOSE CENTRE,0080270B,4 JAMES STREET,WHITEMARK,7255,NO,,
PUBLIC,SA,FLINDERS MEDICAL CENTRE,0060760W,"FLINDERS DRIVE & 216 DAWS ROAD, DAW PARK 5041",BEDFORD PARK,5042,NO,,
PRIVATE,SA,FLINDERS PRIVATE HOSPITAL,0065930X,1 FLINDERS DRIVE,BEDFORD PARK,5042,YES,09-02-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,NSW,FOCUS EYE CENTRE,0657031F,2 MIDDLE STREET,KINGSFORD,2032,YES,26-04-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,FORBES DISTRICT HOSPITAL,0011220H,12-14 ELGIN STREET,FORBES,2871,NO,,
PRIVATE,VIC,FOREST HILL DIALYSIS CLINIC,0043630L,"SHOPS 26 & 27 FOREST HILL CHASE, 69 MAHONEYS ROAD",FOREST HILL,3131,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,FOREST ROAD DAY SURGERY,0657381F,99A FOREST ROAD,HURSTVILLE,2220,YES,05-06-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,FORSTER PRIVATE HOSPITAL,0015250L,5A SOUTH STREET,FORSTER,2428,YES,25-05-21,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PRIVATE,VIC,FRANCES PERRY HOUSE,0036740Y,"LEVELS 6 AND 7, CORNER GRATTAN STREET AND FLEMINGTON ROAD",PARKVILLE,3052,YES,03-02-24,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,NSW,FRANCIS STREET OPHTHALMIC DAY PROCEDURE CENTRE,0834411H,112 FRANCIS STREET,RICHMOND,2753,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,FRANKSTON HOSPITAL,0030460K,2 HASTINGS ROAD,FRANKSTON,3199,NO,,
PRIVATE,VIC,FRANKSTON PRIVATE HOSPITAL,0043880W,5 SUSONO WAY,FRANKSTON,3199,YES,30-09-21,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,WA,FREMANTLE HOSPITAL AND HEALTH SERVICE,0070010W,ALMA STREET,FREMANTLE,6160,NO,,
PRIVATE,NSW,FRESENIUS LIVERPOOL PRIVATE DIALYSIS CLINIC,0027490J,"LEVEL 2, 26 CASTLEREAGH STREET",LIVERPOOL,2170,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,FRESENIUS MEDICAL CARE NORTH LAKES DIALYSIS CLINIC,0057500X,6 NORTH LAKES DRIVE,NORTH LAKES,4509,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,FRIENDLY SOCIETY PRIVATE HOSPITAL,0055190K,19-23 BINGERA STREET,BUNDABERG,4670,YES,01-03-22,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,NSW,GATEWAY DAY HOSPITAL,0027590F,"LEVEL 18, GATEWAY TOWER, 1 MACQUARIE PLACE",SYDNEY,2000,YES,29-06-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,GATTON HOSPITAL,0051530W,97-103 WILLIAM STREET,GATTON,4343,NO,,
PUBLIC,SA,GAWLER HEALTH SERVICE,0060200F,21 HUTCHINSON ROAD,GAWLER EAST,5118,NO,,
PUBLIC,QLD,GAYNDAH HOSPITAL,0050460A,69 WARTON STREET,GAYNDAH,4625,NO,,
PRIVATE,ACT,GENEA CANBERRA,0095110H,"SUITE 17B, 2 KING STREET",DEAKIN,2600,YES,14-08-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,GENEA DAY SURGERY,0747341X,"LEVEL 4, 321 KENT STREET",SYDNEY,2000,YES,30-06-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,GENEA LIVERPOOL,0026990X,173-175 BIGGE STREET,LIVERPOOL,2170,YES,20-08-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,GENEA NORTHWEST,0017340W,"SUITE 101, LEVEL 1, 10 NORBRICK DRIVE",BELLA VISTA,2153,YES,08-07-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,GENESIS CANCER CARE,0027570J,"LEVEL 6, 31 DORA STREET",HURSTVILLE,2220,YES,18-06-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,WA,GENESIS CARE,0075680F,57 SHENTON AVENUE,JOONDALUP,6027,YES,03-11-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,GENESIS CARE RADIATION ONCOLOGY CENTRE ALBURY WODONGA,0027500A,CORNER BORELLA RD AND EAST ST,ALBURY,2640,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,GENESIS CARE RADIATION ONCOLOGY CENTRE AT CABRINI,0044150Y,183 WATTLETREE ROAD,MALVERN,3144,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,GENESIS CARE RADIATION ONCOLOGY CENTRE ST VINCENT'S HOSPITAL MELBOURNE,0044120F,41 VICTORIA PARADE,FITZROY,3065,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,GENESISCARE (CONCORD WEST),0027580H,375A-377 CONCORD ROAD,CONCORD WEST,2138,YES,07-06-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,GENESISCARE KINGSWOOD,0017610K ,29-33 DERBY STREET AND 38 SOMERSET STREET ,KINGSWOOD,2747,YES,18-01-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,WA,GENESISCARE MANDURAH,0075740J,UNIT 3/35 MINILYA PARKWAY ,GREENFIELDS,6210,YES,11-03-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,GENESISCARE RADIATION ONCOLOGY CENTRE SHEPPARTON,0037040X,124 CORIO STREET,SHEPPARTON,3630,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,TAS,GEORGE TOWN HOSPITAL AND COMMUNITY CENTRE,0080450Y,47 ANNE STREET,GEORGE TOWN,7253,NO,,
PUBLIC,WA,GERALDTON HOSPITAL,0071130A,51-85 SHENTON STREET,GERALDTON,6530,NO,,
PRIVATE,WA,GI CLINIC PERTH,0899111T,UNIT 9/16 HULME COURT,MYAREE,6154,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,GIH ACCESS ENDOSCOPY,0037060T,"LEVEL 1, 445 PRINCES HIGHWAY",OFFICER,3809,YES,13-12-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,GILGANDRA MULTI PURPOSE SERVICE,0011230F,6 CHELMSFORD AVENUE,GILGANDRA,2827,NO,,
PUBLIC,QLD,GIN GIN HOSPITAL,0050480X,5 KING STREET,GIN GIN,4671,NO,,
PUBLIC,VIC,GIPPSLAND SOUTHERN HEALTH SERVICE - KORUMBURRA CAMPUS,0030580B,69-75 BRIDGE STREET,KORUMBURRA,3950,NO,,
PUBLIC,VIC,GIPPSLAND SOUTHERN HEALTH SERVICE - LEONGATHA CAMPUS,0031410L,66 KOONAWARRA ROAD,LEONGATHA,3953,NO,,
PUBLIC,QLD,GLADSTONE HOSPITAL,0050490W,PARK STREET,GLADSTONE,4680,NO,,
PRIVATE,VIC,GLEN EIRA DAY SURGERY,0043710L,544 HAWTHORN ROAD,CAULFIELD SOUTH,3162,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,GLEN INNES DISTRICT HOSPITAL,0011240B,94 TAYLOR STREET,GLEN INNES,2370,NO,,
PRIVATE,VIC,GLEN IRIS PRIVATE,0043970T,314 WARRIGAL ROAD,GLEN IRIS,3146,YES,27-08-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,GLEN OSMOND SURGICENTRE,0879791H,45 GLEN OSMOND ROAD,EASTWOOD,5063,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,GLENELG COMMUNITY HOSPITAL,0065110K,5 FARRELL STREET,GLENELG SOUTH,5045,NO,,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,SA,GLENELG DAY SURGERY,0657221Y,24 GORDON STREET,GLENELG,5045,YES,15-05-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,GLENFERRIE PRIVATE HOSPITAL,0036840W,29 HILDA CRESCENT,HAWTHORN,3122,YES,07-12-22,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,WA,GLENGARRY PRIVATE HOSPITAL,0075410F,53 ARNISDALE ROAD,DUNCRAIG,6023,YES,10-02-23,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,SA,GLENSIDE CAMPUS,0060870K,2 KARRAYARTA DRIVE,GLENSIDE,5065,NO,,
PUBLIC,NSW,GLOUCESTER SOLDIERS MEMORIAL HOSPITAL,0011250A,166-182 CHURCH STREET,GLOUCESTER,2422,NO,,
PUBLIC,WA,GNOWANGERUP HOSPITAL,0070330A,YOUGENUP ROAD,GNOWANGERUP,6335,NO,,
PRIVATE,QLD,GOLD COAST PRIVATE HOSPITAL,0055730Y,14 HILL STREET,SOUTHPORT,4215,YES,21-03-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,QLD,GOLD COAST UNIVERSITY HOSPITAL,0051930A,1 HOSPITAL BOULEVARD,SOUTHPORT,4215,NO,,
PUBLIC,VIC,GOLF LINKS ROAD REHABILITATION CENTRE,0032080H,125 GOLF LINKS ROAD,FRANKSTON,3199,NO,,
PUBLIC,NSW,GOODOOGA HOSPITAL,0011260Y,49 HAMMOND STREET,GOODOOGA,2831,NO,,
PUBLIC,WA,GOOMALLING HOSPITAL,0070320B,FORREST STREET,GOOMALLING,6460,NO,,
PRIVATE,VIC,GOONAWARRA DAY HOSPITAL,0036910X,1-11 DORNOCH DRIVE,SUNBURY,3429,YES,15-09-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,QLD,GOONDIWINDI HOSPITAL,0050500J,BOWEN STREET,GOONDIWINDI,4390,NO,,
PRIVATE,NSW,GORDON PRIVATE HOSPITAL,0017580A,746-748 PACIFIC HIGHWAY,GORDON,2072,YES,12-03-23,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PUBLIC,QLD,GORDONVALE HOSPITAL,0050510H,1-11 HIGHLEIGH ROAD,GORDONVALE,4865,NO,,
PUBLIC,NSW,GOSFORD HOSPITAL,0011270X,76 HOLDEN STREET,GOSFORD,2250,NO,,
PRIVATE,NSW,GOSFORD PRIVATE HOSPITAL,0016990L,BURRABIL AVENUE,GOSFORD,2250,YES,08-04-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,NSW,GOULBURN BASE HOSPITAL,0011280W,130 GOLDSMITH STREET,GOULBURN,2580,NO,,
PUBLIC,VIC,GOULBURN VALLEY HEALTH - CENTRE FOR OLDER PERSONS,0032090F,CNR KNIGHT & ORR STREETS,SHEPPARTON,3630,NO,,
PUBLIC,VIC,GOULBURN VALLEY HEALTH - SHEPPARTON CAMPUS,0030710J,2 GRAHAM STREET,SHEPPARTON,3630,NO,,
PUBLIC,VIC,GOULBURN VALLEY HEALTH - TATURA CAMPUS,0030710J,64-68 PARK STREET,TATURA,3616,NO,,
PUBLIC,VIC,GOULBURN VALLEY HEALTH - WARANGA CAMPUS,0031260K,14 COYLE STREET,RUSHWORTH,3612,NO,,
PUBLIC,NT,GOVE DISTRICT HOSPITAL,0095050B,80 MATTHEW FLINDERS WAY,NHULUNBUY,880,NO,,
PUBLIC,NSW,GOWER WILSON MULTI PURPOSE SERVICE,0011290T,LAGOON RD,LORD HOWE ISLAND,2398,NO,,
PUBLIC,NSW,GRAFTON BASE HOSPITAL,0011300H,174 ARTHUR STREET,GRAFTON,2460,NO,,
PUBLIC,WA,GRAYLANDS SELBY-LEMNOS & SPECIAL CARE HOSPITAL,0071590W,BROCKWAY ROAD & 6 LEMNOS STREET,MOUNT CLAREMONT,6010,NO,,
PUBLIC,VIC,GREAT OCEAN ROAD HEALTH - LORNE COMMUNITY HOSPITAL,0030620K,1 ALBERT STREET,LORNE,3232,NO,,
PUBLIC,VIC,GREAT OCEAN ROAD HEALTH - OTWAY HEALTH,0030040J,37-43 MCLACHLAN STREET,APOLLO BAY,3233,NO,,
PRIVATE,SA,GREENHILL DENTAL DAY SURGERY,0067210L,62 GREENHILL ROAD,WAYVILLE,5034,YES,20-05-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,GREENSBOROUGH DAY SURGERY ,0044180T,9-12 FLINTOFF ST,GREENSBOROUGH,3088,YES,17-08-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,GREENSLOPES PRIVATE HOSPITAL,0055860K,NEWDEGATE STREET,GREENSLOPES,4120,YES,04-11-22,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,NSW,GREENWICH HOSPITAL,0012510K,97-115 RIVER ROAD,GREENWICH,2065,NO,,
PUBLIC,NSW,GRENFELL MULTI PURPOSE SERVICE,0011320B,80-96 COWRA ROAD,GRENFELL,2810,NO,,
PUBLIC,NSW,GRIFFITH BASE HOSPITAL,0011340Y,1 NOOREBAR AVENUE,GRIFFITH,2680,NO,,
PRIVATE,SA,GRIFFITH REHABILITATION HOSPITAL,0065120J,13 DUNROBIN ROAD,HOVE,5048,YES,24-11-23,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PUBLIC,NSW,GULARGAMBONE MULTI PURPOSE SERVICE,0011060H,47 BOURBAH STREET,GULARGAMBONE,2828,NO,,
PUBLIC,NSW,GULGONG HEALTH SERVICE,0011350X,112-114 MAYNE STREET,GULGONG,2852,NO,,
PUBLIC,SA,GUMERACHA HOSPITAL,0060210B,2 ALBERT STREET,GUMERACHA,5233,NO,,
PUBLIC,NSW,GUNDAGAI DISTRICT HOSPITAL,0011360W,56 TOR STREET,GUNDAGAI,2722,NO,,
PUBLIC,NSW,GUNNEDAH DISTRICT HOSPITAL,0011370T,2 MARQUIS STREET,GUNNEDAH,2380,NO,,
PUBLIC,NSW,GUYRA MULTI PURPOSE SERVICE,0011380L,44-48 SOLE STREET,GUYRA,2365,NO,,
PUBLIC,QLD,GYMPIE HOSPITAL,0050520F,12 HENRY STREET,GYMPIE,4570,NO,,
PRIVATE,VIC,HABITAT THERAPEUTICS,0037030Y,117 HELMS STREET,NEWCOMB,3219,YES,20-04-21,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PUBLIC,WA,HALLS CREEK HOSPITAL,0070340Y,70 ROBERTA AVENUE,HALLS CREEK,6770,NO,,
PRIVATE,NSW,HAMILTON DAY SURGERY CENTRE,0027010X,76 JENNER PARADE,HAMILTON SOUTH,2303,YES,06-07-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,HAMILTON HOUSE DAY SURGERY,0657401W,470 GOODWOOD ROAD,CUMBERLAND PARK,5041,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,HAMPTON DAY HOSPITAL ,0044230Y,338 SOUTH ROAD,HAMPTON EAST,3188,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,HAMPTON PARK WOMEN'S HEALTH CLINIC,0043900H,2-4 WARANA DRIVE,HAMPTON PARK,3976,YES,19-02-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
